Id,SF,SalePrice
238,2054,244000
239,2110,244000
240,2158,243000
241,2978,242000
242,2069,242000
243,1872,241500
244,1363,241500
245,1550,241000
246,1953,240000
247,2614,240000
248,2358,240000
249,1670,240000
250,1710,240000
251,2090,240000
252,1801,239900
253,1962,239799
254,2149,239686
255,2020,239500
256,1767,239000
257,1950,239000
258,2624,239000
259,1800,239000
260,2345,239000
261,1571,239000
262,2127,238000
263,2117,237500
264,1829,237000
265,2031,237000
266,1616,236500
267,0,236500
268,2256,236000
269,1949,236000
270,1580,235128
271,1252,235000
272,2720,235000
273,1625,235000
274,2263,235000
275,2108,235000
276,1865,235000
277,1525,235000
278,2080,234000
279,1557,234000
280,1919,233230
281,1502,233170
282,2084,233000
283,1489,232600
284,1574,232000
285,1616,232000
286,1668,232000
287,1764,231500
288,1792,231500
289,1936,230500
290,1795,230000
291,1852,230000
292,2291,230000
293,1654,230000
294,1811,230000
295,1314,230000
296,1517,230000
297,1840,230000
298,1314,229456
299,2183,229000
300,1786,228950
301,1982,228500
302,2169,228500
303,1707,228000
304,2097,228000
305,1761,227875
306,1428,227680
307,1665,227000
308,1573,227000
309,1588,227000
310,1768,226700
311,1479,226000
312,2157,226000
313,1929,226000
314,2287,225000
315,2243,225000
316,2008,225000
317,1496,225000
318,1733,225000
319,1983,225000
320,1661,224900
321,1768,224900
322,1692,224500
323,1358,224000
324,1640,224000
325,1786,223500
326,1576,223500
327,1844,223000
328,2035,222500
329,2031,222500
330,1478,222000
331,1680,222000
332,2236,222000
333,1614,221500
334,1494,221000
335,1839,221000
336,1296,220000
337,1541,220000
338,1604,220000
339,1915,220000
340,1991,220000
341,2034,219500
342,1928,219500
343,1740,219500
344,1863,219210
345,1437,218000
346,1647,217500
347,2259,217000
348,1494,217000
349,1836,216837
350,1960,216500
351,1674,216000
352,1547,215200
353,1656,215000
354,1961,215000
355,1602,215000
356,1911,215000
357,1456,215000
358,1959,215000
359,1494,215000
360,2093,215000
361,1894,214900
362,2134,214500
363,1588,214000
364,1536,214000
365,1535,214000
366,2060,214000
367,1933,214000
368,1797,213500
369,1338,213500
370,1506,213490
371,1680,213250
372,1484,213000
373,1775,213000
374,1630,213000
375,1552,212900
376,1661,212000
377,1502,212000
378,1768,212000
379,2060,211000
380,1796,211000
381,1436,210000
382,1908,210000
383,1590,210000
384,1635,210000
385,2073,210000
386,1554,209500
387,1493,208900
388,1352,208900
389,1710,208500
390,1218,208300
391,1600,207500
392,1728,207500
393,1314,207500
394,2090,207500
395,1686,207500
396,1358,207000
397,1848,207000
398,2112,206900
399,1344,206300
400,1208,206000
401,1665,205950
402,1610,205000
403,2110,205000
404,1548,205000
405,1541,205000
406,1986,205000
407,1964,205000
408,1498,204900
409,1786,204750
410,1501,204000
411,1756,204000
412,1504,203000
413,1274,203000
414,1908,202900
415,1368,202665
416,1370,202500
417,1621,202500
418,1368,202500
419,1820,201800
420,1560,201000
421,1721,201000
422,1466,201000
423,2515,200624
424,1682,200500
425,2607,200500
426,1316,200141
427,1802,200100
428,2090,200000
429,2082,200000
430,2267,200000
431,2880,200000
432,1688,200000
433,1700,200000
434,1861,200000
435,2634,200000
436,1886,199900
437,1241,199900
438,1226,198900
439,1922,198500
440,1935,197900
441,1779,197900
442,1724,197900
443,1381,197500
444,1868,197500
445,1576,197000
446,2685,197000
447,1247,197000
448,1725,197000
449,1720,196500
450,1714,196500
451,1391,196000
452,1306,196000
453,1567,196000
454,1208,195400
455,2030,195000
456,1660,195000
457,1948,195000
458,1362,194700
459,1744,194500
460,1232,194500
461,1895,194500
462,1402,194201
463,1220,194000
464,1240,194000
465,1432,194000
466,1294,193879
467,2142,193500
468,1679,193500
469,1617,193000
470,1790,193000
471,1593,193000
472,1555,192500
473,1776,192500
474,1838,192140
475,1431,192000
476,2022,192000
477,1638,192000
478,1269,192000
479,1459,192000
480,1479,191000
481,1716,191000
482,1504,191000
483,2171,191000
484,1844,190000
485,1993,190000
486,1867,190000
487,1453,190000
488,1574,190000
489,1888,190000
490,1969,190000
491,1728,190000
492,1500,190000
493,2620,190000
494,1166,190000
495,1582,190000
496,1923,190000
497,1426,189950
498,1228,189000
499,1456,189000
500,1434,189000
501,1804,189000
502,1845,189000
503,2601,189000
504,1660,188700
505,1432,188500
506,1728,188000
507,1724,188000
508,1658,188000
509,1301,187750
510,1472,187500
511,1146,187500
512,2087,187500
513,1717,187500
514,1360,187500
515,1498,187500
516,1430,187100
517,1710,187000
518,1855,187000
519,1851,187000
520,1572,186700
521,1553,186500
522,1792,186500
523,1212,186000
524,1582,185900
525,1364,185850
526,1489,185750
527,1414,185500
528,1718,185000
529,1470,185000
530,1511,185000
531,1262,185000
532,1674,185000
533,2126,185000
534,1337,185000
535,1442,185000
536,1876,185000
537,1221,185000
538,1200,184900
539,4676,184750
540,1419,184100
541,1651,184000
542,1479,184000
543,1820,184000
544,1490,184000
545,1452,183900
546,1720,183500
547,1509,183200
548,1640,183000
549,1440,182900
550,1428,182000
551,1429,181900
552,1262,181500
553,1340,181134
554,1586,181000
555,1604,181000
556,1309,181000
557,1504,181000
558,1690,181000
559,1675,181000
560,1337,181000
561,1425,180500
562,1442,180500
563,1824,180500
564,1152,180500
565,2207,180000
566,1430,180000
567,988,180000
568,1721,180000
569,1668,180000
570,1337,180000
571,1509,180000
572,1523,180000
573,1298,180000
574,1339,180000
575,1234,179900
576,1552,179900
577,1442,179900
578,1265,179900
579,1416,179900
580,1496,179665
581,1422,179600
582,1456,179540
583,1772,179500
584,1501,179400
585,1575,179200
586,1294,179200
587,1800,179000
588,1200,179000
589,1349,179000
590,1484,178900
591,1414,178740
592,999,178400
593,1732,178000
594,1641,178000
595,1414,178000
596,1593,178000
597,1571,178000
598,1212,178000
599,1868,178000
600,1200,177500
601,1494,177500
602,1573,177500
603,1470,177000
604,1525,177000
605,1680,177000
606,1357,177000
607,1913,177000
608,1414,176500
609,1632,176500
610,1302,176485
611,1314,176432
612,1458,176000
613,1382,176000
614,1266,176000
615,1137,176000
616,1253,176000
617,1978,176000
618,1132,176000
619,1456,176000
620,1603,175900
621,1569,175900
622,1422,175500
623,1242,175500
624,1626,175500
625,1743,175000
626,1412,175000
627,1484,175000
628,1509,175000
629,1446,175000
630,1464,175000
631,1768,175000
632,1126,175000
633,1647,175000
634,1165,174900
635,1564,174500
636,1560,174000
637,1682,174000
638,1481,174000
639,1484,174000
640,1555,174000
641,1441,174000
642,1537,174000
643,1500,173900
644,1224,173733
645,1476,173500
646,1217,173000
647,1640,173000
648,1167,173000
649,1291,173000
650,1626,173000
651,1632,173000
652,1671,173000
653,1456,172785
654,1739,172500
655,1920,172500
656,1258,172500
657,1471,172500
658,1683,172500
659,1664,172400
660,1968,172000
661,1250,171900
662,1405,171750
663,1279,171500
664,1959,171000
665,1564,171000
666,1701,171000
667,1118,171000
668,1716,171000
669,1328,170000
670,1389,170000
671,1430,170000
672,1779,170000
673,1466,170000
674,1088,170000
675,1173,170000
676,1920,170000
677,1316,169990
678,1034,169900
679,1818,169500
680,1812,169500
681,2267,169000
682,1600,169000
683,2447,169000
684,1474,168500
685,1512,168500
686,1350,168500
687,1572,168000
688,1437,168000
689,1742,168000
690,1622,168000
691,1611,167900
692,1334,167900
693,2019,167500
694,1264,167500
695,1394,167500
696,1248,167240
697,1644,167000
698,1277,167000
699,1486,167000
700,1516,167000
701,1385,166000
702,1392,166000
703,1501,165600
704,1700,165500
705,1110,165500
706,1661,165500
707,1656,165400
708,1790,165150
709,1431,165000
710,1208,165000
711,1350,165000
712,1383,165000
713,1382,165000
714,1502,165000
715,1977,165000
716,1224,165000
717,1310,164990
718,1363,164900
719,1250,164700
720,1224,164500
721,1320,164500
722,1216,164000
723,1646,164000
724,1752,164000
725,1456,163990
726,1482,163900
727,964,163500
728,1657,163500
729,1362,163000
730,1768,163000
731,1261,163000
732,1912,163000
733,1573,162900
734,1664,162900
735,1232,162500
736,1287,162000
737,1320,162000
738,1204,162000
739,1395,162000
740,1392,161750
741,1342,161500
742,1788,161500
743,1666,161000
744,1378,161000
745,1145,160200
746,1324,160000
747,2414,160000
748,1116,160000
749,1750,160000
750,1308,160000
751,1472,160000
752,1928,160000
753,1251,160000
754,1252,160000
755,5642,160000
756,1687,160000
757,1126,160000
758,1086,159950
759,1266,159895
760,2554,159500
761,1426,159500
762,1194,159500
763,1520,159434
764,1114,159000
765,1734,159000
766,1394,159000
767,1664,159000
768,1386,158900
769,1152,158500
770,1158,158000
771,1302,158000
772,2119,158000
773,1159,158000
774,1445,158000
775,1352,158000
776,1442,157900
777,1188,157900
778,1478,157500
779,1539,157500
780,1253,157000
781,1336,157000
782,1178,157000
783,1090,157000
784,1601,157000
785,1762,157000
786,1412,156932
787,1478,156500
788,990,156000
789,912,156000
790,1073,156000
791,1026,156000
792,848,155900
793,1456,155835
794,1125,155000
795,1348,155000
796,1215,155000
797,1135,155000
798,1826,155000
799,1269,155000
800,1094,155000
801,1839,155000
802,1052,155000
803,1416,155000
804,1548,155000
805,1803,155000
806,1128,155000
807,1114,155000
808,1343,154900
809,1068,154500
810,2274,154300
811,1060,154000
812,1626,154000
813,1154,154000
814,1556,154000
815,1246,154000
816,1199,153900
817,1416,153900
818,1396,153575
819,1337,153500
820,1559,153500
821,1074,153500
822,1224,153337
823,1297,153000
824,1520,153000
825,1306,153000
826,1616,152000
827,1558,152000
828,1040,152000
829,1620,152000
830,1370,152000
831,1097,152000
832,958,151500
833,2521,151400
834,1212,151000
835,1556,151000
836,1200,151000
837,1120,151000
838,1054,151000
839,1728,150900
840,1327,150750
841,1040,150500
842,1053,150000
843,1620,150000
844,1244,150000
845,1440,150000
846,894,149900
847,985,149900
848,1466,149900
849,1078,149900
850,1236,149700
851,1400,149500
852,1505,149500
853,1228,149350
854,848,149300
855,1004,149000
856,848,149000
857,1502,149000
858,1576,149000
859,1102,148800
860,1456,148500
861,1441,148500
862,1002,148500
863,1194,148000
864,1113,148000
865,914,148000
866,1072,148000
867,1032,148000
868,1155,148000
869,1382,148000
870,1256,147500
871,1143,147400
872,1344,147000
873,1113,147000
874,1322,147000
875,1120,147000
876,1026,147000
877,996,147000
878,912,147000
879,1122,147000
880,1795,147000
881,1062,146800
882,1644,146500
883,1392,146000
884,1200,146000
885,1456,146000
886,2200,145900
887,1053,145500
888,1383,145250
889,1097,145000
890,1092,145000
891,1314,145000
892,1505,145000
893,1056,145000
894,1477,145000
895,1712,145000
896,2002,145000
897,1958,145000
898,990,145000
899,1258,145000
900,960,145000
901,1138,145000
902,1072,145000
903,1086,144900
904,848,144500
905,1526,144500
906,1120,144152
907,912,144000
908,884,144000
909,1056,144000
910,2020,144000
911,1099,144000
912,1167,144000
913,1690,144000
914,1524,144000
915,848,144000
916,1344,144000
917,1696,143900
918,958,143750
919,1285,143500
920,1268,143500
921,981,143250
922,1362,143000
923,1214,143000
924,1473,143000
925,923,143000
926,848,143000
927,1632,143000
928,1144,143000
929,1482,143000
930,1846,143000
931,1328,143000
932,2240,142953
933,1728,142600
934,1003,142500
935,894,142500
936,1141,142500
937,1078,142125
938,1056,142000
939,912,142000
940,1188,142000
941,1252,142000
942,1539,141500
943,1150,141000
944,1080,141000
945,1100,141000
946,864,141000
947,1092,141000
948,1375,141000
949,848,141000
950,1800,141000
951,1577,140200
952,1717,140000
953,1710,140000
954,1121,140000
955,1375,140000
956,1595,140000
957,1214,140000
958,1069,140000
959,848,140000
960,1136,140000
961,1164,140000
962,1812,140000
963,1482,140000
964,1796,140000
965,1095,140000
966,1601,140000
967,936,140000
968,1283,140000
969,1072,140000
970,1668,140000
971,1558,140000
972,1144,139950
973,1422,139900
974,1733,139600
975,1489,139500
976,1108,139400
977,1056,139400
978,1339,139000
979,1092,139000
980,1632,139000
981,1056,139000
982,1196,139000
983,1109,139000
984,1652,139000
985,1121,139000
986,952,139000
987,1250,139000
988,1824,139000
989,1784,138887
990,1096,138800
991,894,138500
992,1052,138500
993,816,138000
994,990,138000
995,1904,138000
996,2136,137900
997,1054,137500
998,1181,137500
999,1180,137500
1000,1344,137500
1001,1709,137500
1002,1513,137500
1003,1608,137450
1004,1928,137000
1005,860,137000
1006,1008,137000
1007,935,137000
1008,1920,137000
1009,1680,136905
1010,1855,136900
1011,1768,136500
1012,864,136500
1013,1050,136500
1014,1694,136500
1015,848,136500
1016,1080,136000
1017,2526,136000
1018,1792,136000
1019,943,135960
1020,1716,135900
1021,952,135750
1022,980,135500
1023,1393,135500
1024,1512,135000
1025,1389,135000
1026,980,135000
1027,2080,135000
1028,1469,135000
1029,1470,135000
1030,1004,135000
1031,1236,135000
1032,1229,135000
1033,1098,135000
1034,1192,135000
1035,1271,135000
1036,893,135000
1037,1048,135000
1038,1134,135000
1039,1981,135000
1040,1656,135000
1041,858,134900
1042,1176,134900
1043,900,134800
1044,1008,134500
1045,999,134500
1046,1236,134450
1047,1588,134432
1048,0,134000
1049,1080,134000
1050,1211,134000
1051,2291,133900
1052,768,133900
1053,1040,133700
1054,864,133500
1055,1578,133000
1056,767,133000
1057,1573,133000
1058,1036,133000
1059,1040,133000
1060,768,133000
1061,970,132500
1062,999,132500
1063,1148,132500
1064,1190,132500
1065,1412,132500
1066,954,132500
1067,1040,132250
1068,854,132000
1069,972,132000
1070,1268,132000
1071,928,132000
1072,1432,132000
1073,1057,132000
1074,1795,131500
1075,848,131500
1076,1039,131500
1077,1144,131400
1078,1716,131000
1079,902,131000
1080,1218,131000
1081,1479,130500
1082,1200,130500
1083,816,130500
1084,938,130250
1085,1360,130000
1086,1709,130000
1087,1709,130000
1088,926,130000
1089,1352,130000
1090,899,130000
1091,838,130000
1092,894,130000
1093,1964,130000
1094,874,130000
1095,1708,130000
1096,1774,129900
1097,1060,129900
1098,864,129900
1099,816,129900
1100,1040,129500
1101,845,129500
1102,768,129500
1103,2058,129500
1104,1144,129000
1105,2380,129000
1106,960,129000
1107,1120,129000
1108,864,129000
1109,936,129000
1110,894,129000
1111,913,129000
1112,1225,128950
1113,1050,128900
1114,854,128500
1115,988,128500
1116,971,128500
1117,864,128500
1118,894,128200
1119,958,128000
1120,1362,128000
1121,1647,128000
1122,1484,128000
1123,1067,128000
1124,1063,128000
1125,1324,128000
1126,1355,127500
1127,1689,127500
1128,864,127500
1129,980,127500
1130,1367,127500
1131,1069,127500
1132,955,127000
1133,1285,127000
1134,1252,127000
1135,864,127000
1136,1691,127000
1137,1040,127000
1138,1355,127000
1139,1507,127000
1140,1475,127000
1141,1065,126500
1142,1163,126175
1143,1134,126000
1144,1734,126000
1145,990,126000
1146,902,125500
1147,1360,125500
1148,1154,125500
1149,1363,125500
1150,1728,125000
1151,1200,125000
1152,912,125000
1153,752,125000
1154,1125,125000
1155,825,125000
1156,1164,125000
1157,1472,125000
1158,894,125000
1159,1365,125000
1160,780,124900
1161,1749,124900
1162,816,124500
1163,1960,124500
1164,1041,124500
1165,864,124500
1166,1040,124000
1167,1750,124000
1168,1229,124000
1169,932,124000
1170,1584,124000
1171,1144,124000
1172,990,123600
1173,1148,123500
1174,1319,123000
1175,894,123000
1176,872,123000
1177,900,123000
1178,924,122900
1179,1365,122500
1180,2290,122500
1181,969,122000
1182,900,122000
1183,1889,122000
1184,2153,122000
1185,1230,121600
1186,1392,121500
1187,952,121000
1188,778,120500
1189,864,120500
1190,816,120500
1191,864,120500
1192,1340,120000
1193,1217,120000
1194,1183,120000
1195,912,120000
1196,864,120000
1197,1130,120000
1198,1158,120000
1199,1118,119900
1200,965,119900
1201,954,119750
1202,1376,119500
1203,950,119500
1204,923,119500
1205,1302,119500
1206,1082,119200
1207,1728,119000
1208,1367,119000
1209,904,119000
1210,1252,119000
1211,988,119000
1212,948,119000
1213,804,119000
1214,1535,118964
1215,1535,118858
1216,1216,118500
1217,816,118500
1218,1029,118500
1219,1749,118500
1220,1012,118400
1221,1077,118000
1222,987,118000
1223,1440,118000
1224,1128,118000
1225,1218,118000
1226,698,118000
1227,925,117500
1228,2210,117500
1229,1635,117000
1230,833,117000
1231,1348,117000
1232,1604,117000
1233,1111,116900
1234,858,116500
1235,864,116050
1236,1118,116000
1237,1250,116000
1238,910,116000
1239,789,115000
1240,1517,115000
1241,864,115000
1242,1344,115000
1243,1166,115000
1244,1028,115000
1245,1304,115000
1246,1771,115000
1247,1005,115000
1248,1224,115000
1249,912,115000
1250,864,115000
1251,1368,114504
1252,816,114500
1253,912,114500
1254,1452,113000
1255,1487,113000
1256,988,113000
1257,1218,113000
1258,1048,113000
1259,672,113000
1260,928,112500
1261,882,112500
1262,1310,112000
1263,1302,112000
1264,960,112000
1265,1902,112000
1266,1416,112000
1267,833,112000
1268,1346,112000
1269,864,111250
1270,948,111000
1271,866,110500
1272,1103,110500
1273,816,110000
1274,1230,110000
1275,1284,110000
1276,1196,110000
1277,813,110000
1278,1203,110000
1279,924,110000
1280,1392,110000
1281,1776,110000
1282,773,110000
1283,858,110000
1284,894,110000
1285,892,110000
1286,1040,109900
1287,904,109900
1288,1196,109900
1289,1040,109500
1290,792,109500
1291,784,109500
1292,894,109500
1293,907,109008
1294,1057,109000
1295,1034,109000
1296,1258,108959
1297,960,108500
1298,1073,108480
1299,672,108000
1300,1126,108000
1301,1336,108000
1302,996,108000
1303,1510,108000
1304,948,108000
1305,901,107900
1306,827,107500
1307,1347,107500
1308,2372,107500
1309,1605,107400
1310,1328,107000
1311,1117,107000
1312,1056,107000
1313,882,106500
1314,951,106500
1315,1294,106250
1316,987,106000
1317,2138,106000
1318,1302,106000
1319,720,105900
1320,832,105500
1321,875,105000
1322,1376,105000
1323,1374,105000
1324,1258,105000
1325,1214,105000
1326,1221,104900
1327,1738,104900
1328,1858,104000
1329,1369,103600
1330,882,103200
1331,848,103000
1332,1178,102776
1333,1220,102000
1334,1008,102000
1335,986,102000
1336,1224,101800
1337,1111,101000
1338,1047,100000
1339,1123,100000
1340,968,100000
1341,788,100000
1342,1301,100000
1343,987,100000
1344,892,100000
1345,1664,100000
1346,816,100000
1347,864,99900
1348,918,99500
1349,1235,98600
1350,1048,98300
1351,864,98000
1352,1344,98000
1353,1529,98000
1354,1458,97500
1355,864,97000
1356,882,97000
1357,1344,97000
1358,789,96500
1359,1140,96500
1360,1111,95000
1361,1699,95000
1362,960,94750
1363,987,94500
1364,1020,94000
1365,1040,93500
1366,974,93500
1367,1387,93000
1368,936,93000
1369,1124,93000
1370,1040,92900
1371,630,92000
1372,1456,91500
1373,1218,91500
1374,886,91300
1375,988,91000
1376,1077,91000
1377,790,91000
1378,694,90350
1379,1296,90000
1380,2337,90000
1381,1040,90000
1382,987,89500
1383,1406,89500
1384,1131,89471
1385,616,89000
1386,858,88000
1387,1092,88000
1388,1015,88000
1389,1092,88000
1390,1040,87500
1391,840,87000
1392,803,87000
1393,1774,87000
1394,1248,87000
1395,630,86000
1396,605,86000
1397,691,86000
1398,869,85500
1399,987,85400
1400,1013,85000
1401,1112,85000
1402,796,85000
1403,1022,85000
1404,930,84900
1405,520,84500
1406,630,84500
1407,0,84500
1408,845,84000
1409,1092,83500
1410,835,83000
1411,987,83000
1412,861,82500
1413,1411,82500
1414,708,82500
1415,1152,82000
1416,841,82000
1417,944,82000
1418,1184,81000
1419,630,81000
1420,894,81000
1421,912,80500
1422,747,80000
1423,630,80000
1424,1006,80000
1425,924,80000
1426,1198,79900
1427,747,79900
1428,779,79500
1429,1096,79000
1430,1440,79000
1431,774,79000
1432,1192,78000
1433,1306,76500
1434,784,76000
1435,630,75500
1436,1092,75000
1437,764,73000
1438,720,72500
1439,520,68500
1440,1128,68400
1441,1077,67000
1442,864,67000
1443,1131,66500
1444,968,64500
1445,864,62383
1446,904,61000
1447,1276,60000
1448,800,60000
1449,438,60000
1450,864,58500
1451,1044,55993
1452,1092,55000
1453,796,55000
1454,693,52500
1455,729,52000
1456,1317,40000
1457,334,39300
1458,968,37900
1459,480,35311
1460,720,34900
